"b_nr","generalite","autor","titel","publikation","band","jahr","seiten","ort","ae","zu_ae","cil","sonstigeCorpora","bearbeiter","datum"
"B014214","N","Tomlin, R.S.O. - Hassall, M.W.C.","Roman Britain in 1998. II. Inscriptions.","Britannia","30","1999","375-386","","1998, 0736b; 1998, 0736c; 1999, 0936b; 1999, 0973a; 1999, 0973b; 1999, 0974; 1999, 0975; 1999, 0976; 1999, 0977; 1999, 0978; 1999, 0979a; 1999, 0979b; 1999, 0980; 1999, 0981; 1999, 0982a; 1999, 0982b; 1999, 0983; 1999, 0984a; 1999, 0984b; 1999, 0985a; 1999, 0985b; 1999, 0985c; 1999, 0985d; 1999, 0985e; 1999, 0986; 1999, 0987; 1999, 0988; 1999, 0989; 1999, 0990; 1999, 0991; 1999, 0992; 1999, 0993; 1999, 0994.","","07, 00924; 07, 00924 add. p. 314.","RIB 0154; RIB 3009; RIB 3227; RIB 3492; RIB 3281.","Cowey","2020-01-13"
"B014215","N","Blänsdorf, J.","""Würmer und Krebse sollen ihn befallen."" Eine neue Fluchtafel aus Groß-Gerau.","ZPE","161","2007","61-65","","2007, 1049.","","","","Gräf","2013-02-14"
"B014216","N","Rivet, L.","Le pot trapu à deux anses du littoral de la Narbonnaise orientale.","In: Actes du Congrès de Pézenas, Pézenas 2006.","","2006","627-639","Marseille","2006, 0782.","","","","Gräf","2013-02-14"
"B014217","N","Derks, T.","Samenvatting en conclusies.","In: T. Derks - J. Van Kerckhove - P. Hoff (Hrsg.), Nieuw archeologisch onderzoek rond de Grote Kerk van Elst, gemeente Overbetuwe (2002-2003).","","2008","135-148","Amsterdam","2008, 0943.","","","","Gräf","2013-02-14"
"B014218","N","Gamallo Barranco, J.L. - Madruga Flores, J.-V.","Nuevos epígrafes extremeños (sur de Cáceres y norte de Badajoz).","Gérion","12","1994","287-300","","1994, 0885.","","02, 02364; 02 (2. Aufl.) 07, 00964; 02 (2. Aufl.) 07, 00972.","HEp 05, 1995, 0080; HEp 06, 1996, 0072; HEp 06, 1996, 0073.","Gräf","2015-03-18"
"B014219","N","Wieland, A.","Die ""Praunheimer Villa"" bei Nida, Civitas Taunensium (Frankfurt/M. - Praunheim).","FuBerHessen","44/45","2004/05","141-268","","2007, 1056.","","","","Gräf","2013-02-14"
"B014220","","Themelis, P.G.","Anaskaphi Messinis.","PAAH","161","2006","31-67","","2008, 1256; 2008, 1257; 2008, 1258.","","","","Cowey","2013-02-15"
"B014221","N","De Maria, S. - Gjongecaj, S.","Phoinike III. Rapporto preliminare sulle campagne di scavi e ricerche 2002-2003.","","","2005","250","Bologna","2005, 1406.","","","","Cowey","2013-02-18"
"B014222","N","Starac, A.","The new epigraphic monument of imperial cult in Histria.","In: M. Mayer i Olivé - G. Baratta - A. Guzmán Almagro (Hrsg.), XII Congressus Internationalis Epigraphiae Graecae et Latinae. Provinciae Imperii Romani inscriptionibus descriptae, Barcelona 2002. Acta.","","2007","1381-1385","Barcelona","","1999, 0689.","","","Gräf","2013-02-20"
"B014223","N","Mráv, Z. - Vida, I.","Fragment of a military diploma issued in 151 AD from Siófok (County Smogy, Hungary).","FolA","54","2008-2010","155-164","","2010, 1272.","","","","Gräf","2014-07-08"
"B014224","N","Kovács, P. - Lőrincz, B.","Eine neue Bauinschrift aus Intercisa.","AArchHung","62","2011","353-362","","2010, 1273.","","","","Gräf","2014-07-08"
"B014225","N","Borhy, L.","Egy ószőnyi felirat Öreglakról Keszthelyen (RIU 950). (Mit deutscher Zusammenfassung)","ZalMuz","20","2012","159-166","","2012, 1130","","","RIU 0950.","Gräf","2016-02-17"
"B014226","N","Kreckel, T. - Bernhard, H.","Benefiziarierweihung auf einer Bronzetafel aus Eisenberg/Pfalz.","OOB","13","2007","1-5","","2007, 1044.","","","","Gräf","2013-02-28"
"B014227","N","Ludwig, R. - Kemmet, E.","Jupiter im Brunnen. Untersuchungen im Nordvicus von Heidelberg.","AAusgrBadWürt","","2007","129-133","","2007, 1050.","","","","Gräf","2013-02-28"
"B014228","N","Boppert, W.","Der gesellschaftliche Hintergrund der Magna Mater-Kybele-Verehrer im Mainzer Raum. Überlegungen zu einem neuen Magna Mater-Altar aus dem Vicus von Alzey.","In: E. Walde - B. Kainrath (Hrsg.), Die Selbstdarstellung der römischen Gesellschaft in den Provinzen im Spiegel der Steindenkmäler. IX. Internationales Kolloquium über Probleme des provinzialrömischen Kunstschaffens, Innsbruck 2005.","","2007","225-238","Innsbruck","2007, 1047.","","","","Gräf","2013-02-28"
"B014229","N","Boppert, W.","Götterpfeiler und Magna Mater-Kult.","MAZ","7","2008","1-50","","2007, 1047.","","","","Gräf","2013-02-28"
"B014230","N","Reis, A.","Eine Brunnenverfüllung des 3. Jahrhunderts n. Chr. aus Obernburg am Main.","BVBl","73","2008","87-101","","2008, 0967.","","","RSO 132.","Gräf","2013-03-08"
"B014231","N","Boppert, W.","Frühchristlicher Grabstein des Aigttheus aus Worms.","ArchRheinland-Pfalz","","2005","94-96","","2007, 1045.","","","","Gräf","2013-02-28"
"B014232","N","Boppert, W.","Frühchristlicher Grabstein des Aigttheus aus Worms.","MAZ","5/6","1998/99","229-240","","2007, 1045.","","","","Gräf","2013-02-28"
"B014233","N","Yule, B.","Buildings of the 2nd-4th century (period 3).","In: B. Yule u. a., A prestigious Roman building complex on the Southwark waterfront. Excavations at Winchester Palace, London, 1983-90.","","2005","50-77","London","2006, 0736.","","","","Feraudi","2017-11-21"
"B014234","N","Durost, R. - Février, S. - Le Bohec, Y. - Lenda, S. - Turé, I.","Découvertes funéraires gallo-romaines dans le faubourg Saint-Gilles de Langres (Haute Marne). (Mit englischer und deutscher Zusammenfassung)","RAE","56","2007","349-361","","2007, 1040; 2007, 1041.","","","","Gräf","2013-02-28"
"B014235","N","Tomlin, R.S.O.","Was Roman London ever a colonia? The written evidence.","In: R.J.A. Wilson (Hrsg.), Romanitas. Essays on Roman archaeology in honour of Sheppard Frere on the occasion of his ninetieth birthday.","","2006","49-64","Oxford","2006, 0708.","","","","Gräf","2013-02-28"
"B014236","N","Haalebos, J.K. - Polak, R.","Een lijst met Romeinse namen uit Bodegraven.","Westerheem","56","2007","114-122","","2007, 1029.","","","","Gräf","2013-02-28"
"B014237","N","Rhomiopoulou, A.","Makedonia. Archaiotites kai mnimeia kentrikis Makedonias.","AD","30B","1975","245-250","","2009, 1272.","","","","Feraudi","2013-03-01"
"B014238","N","Nigdelis, P.M.","Mia prosopographia gia tous Romaious tis Makedonias: addenda kai corrigenda.","Egnatia","13","2009","23-44","","2009, 1272.","","","","Feraudi","2013-03-01"
"B014239","N","Sverkos, E.","Statieni: mia oikogeneia apeleuthron se latiniki epigraphi apo tin periochi tou Drymou. (Mit englischer Zusammenfassung)","In: P. Adam-Beleni - K. Tzanabari (Hrsg.), Diniessa. Timitikos tomos gia tin Kakrina Rhomiopoulou","","2012","643-652","Thessaloníki","2012, 1374.","2009, 1272.","","","Feraudi","2019-03-04"
"B014240","N","Manov, M.","Selištnijat život v dolinata na sredna Struma spored anticnite epigrafski pametnici ot IV/III v. pr. Chr. - III v. sl. Chr. (Mit englischer Zusammenfassung)","Razkopki i proučvanija","38","2008","247 S.","Sofija","2008, 1236; 2008, 1237; 2008, 1238; 2008, 1239; 2008, 1240; 2008, 1241; 2008, 1242.","","","","Gräf","2013-08-27"
"B014241","N","Bauchhenß, G. - Hartke, G. - Romussi, M.","Neues zu alten Funden. Bemalte Altarnebenseiten.","ArchRhein","","2008","104-105","","2008, 0933.","","","","Gräf","2013-03-08"
"B014242","N","Nuber, H.U. - Seitz, G.","Lucius Iulius Fontus. Keramikproduzent und Eigentümer der villa urbana von Heitersheim, Kreis Breisgau-Hochschwarzwald.","AAusgrBadWürt","","2008","143-146","","2008, 0961.","","","","Gräf","2013-03-08"
"B014243","N","Ranseder, C. u. a.","Michaelerplatz. Die archäologischen Ausgrabungen.","","","2006","75 S.","Wien","2006, 1081.","","","","Gräf","2013-03-12"
"B014244","N","Robert, J. - Robert, L.","Bulletin épigraphique.","REG","59/60","1946/47","298-372","","1949, p. 45 s. n. 139.","","","","Gräf","2013-03-12"
"B014245","N","Blétry, S.","L'autel de Loreia Pia à Glanum et les ""divinités écoutantes"". (Mit englischer Zusammenfassung)","RAN","31","1998","155-157","","1998, 0887.","","","","Gräf","2013-03-12"
"B014246","N","de Ruyt, F.","Zu: P. Lambrechts - L. van den Berghe, BIBR 29, 1955, 177-197.","FA","10","1955","279","","1958, 0036.","","","","Gräf","2013-03-12"
"B014247","N","Mayer-Reppert, P.","Fundmaterial aus dem Mithrasheiligtum von Riegel am Kaiserstuhl.","FBW","29","2007","327-532","","2007, 1043.","","","","Gräf","2013-03-14"
"B014248","N","Thorimbert, S.","L'atelier de potiers d'Avenches À la Montagne (70/80-120/150 ap. J.-C.).","Pro Aventico","49","2007","7-157","","2007, 1034.","","","","Gräf","2013-03-14"
"B014249","N","Rabold, B.","Nicht nur ein Straßenknotenpunkt - Der Großbetrieb des Zieglers LPL im römischen Stettfeld.","ANachrBad","76/77","2008","52-53","","2008, 0962.","","","","Gräf","2013-03-14"
"B014250","N","Ludwig, R. - Kemmet, E.","Jupiter im Brunnen.","ADeutschl","23, 6","2007","40-41","","2007, 1050.","","","","Gräf","2019-10-23"
"B014251","N","Ludwig, R.","Dem Bildersturm entkommen. Die jüngst entdeckte Iupitergigantensäule aus Heidelberg.","ANachrBad","76/77","2008","48-49","","2007, 1050.","","","","Gräf","2013-03-14"
"B014252","N","Matijević, K.","Ein datierter Beneficiarieraltar aus Jagsthausen-Olnhausen (Germania Superior).","SJ","55","2005","155-159","","2007, 1048; 2007, 1051.","","13, 06556; 13, 11762.","","Gräf","2013-03-14"
"B014253","N","von Premerstein, A.","Zur Inschrift C.I.L. III 4037.","AEM","12","1888","131-137","","1889, 0108.","","03, 04037; 03, 10868","ILS 3029.","Gräf","2013-03-18"
"B014254","N","Rizakis, A.D.","Achaïe II. Les cités achéennes: épigraphie et histoire.","","","2008","496 S.","Athènes","2008, 1260a; 2008, 1260b.","","","","Gräf","2015-01-13"
"B014255","N","Zabehlicky-Scheffenegger, S.","Römerzeit.","In: K. Holter - W. Rieß - S. Zabehlicky-Scheffenegger, Stadtmuseum Wels. Katalog. Vorgeschichte, Römerzeit, Frühgeschichte, JbWels","22","1981","45-128","Wels","","1944, 0082; 1944, 0083; 1968, 0412.","03, 05629; 03, 05630; 03, 05631; 03, 05633; 03, 11786; 03, 13529; 03, 14109; 03, 14109 add. p. 2328, 49; 03, 14110; 03, 14368, 31; 17, 04, 00082.","ILLPRON 0946; ILLPRON 1011; ILLPRON 1012; ILLPRON 1013; ILLPRON 1015; ILLPRON 1016; ILLPRON 1020; ILLPRON 1021; ILLPRON 1022; ILLPRON 1023; ILLPRON 1025; ILLPRON 1028; ILLPRON 1029; ILS 3231; ILS 7112; CCID 287; CLE 1992; ILCV 1336.","Gräf","2014-05-27"
"B014256","N","Kaufmann-Heinimann, A. - Peter, M. - Wachter, R.","Ein Tonmodel aus Kaiseraugst.","JberAugst","29","2008","287-298","","2008, 0956.","","","","Gräf","2013-03-21"
"B014257","N","Daniels, M. - Brunsting, H.","Romeins Nijmegen IV. De Romeinse monumenten van steen, te Nijmegen gevonden.","OMRL","36","1955","21-72","","2007, 1025.","","","","Gräf","2013-03-21"
"B014258","N","Driessen, M.J.","Bouwen om te blijven. De topografie, bewoningscontinuiteit en monumentaliteit von Romeins Nijmegen.","","","2007","366 S.","Amersfoort","2007, 1024; 2007, 1025.","","13, 01320*; 13, 01321*; 13, 01322*; 13, 01324*; 13, 01325*; 13, 01326*; 13, 01327*; 13, 01328*.","ILS 3198.","Gräf","2013-03-21"
"B014259","N","Schaer, A. - Wälchli, D. - Glauser, R.","Hunzenschwil AG, Römerweg (Hzw. 0051).","JSGU","89","2006","253-254","","2007, 1035.","","","","Gräf","2013-03-21"
"B014260","N","Ulbert, C. - Wulfmeier, J.-C.","Mithras im Vorgebirge. Neue Funde aus Sechtem.","ArchRhein","","2001","54-56","","2001, 1442.","","","","Gräf","2013-03-27"
"B014261","N","Biller, F.","Eine fast vergessene Matronenweihung aus Bad Münstereifel.","ArchRhein","","2001","69-72","","2001, 1425.","","","","Gräf","2013-03-27"
"B014262","N","Biller, F. - Wagner, P.","Ein römischer Tempel an den Katzensteinen bei Katzvey?","ArchRhein","","2000","82-85","","2001, 1426.","","","","Gräf","2013-03-27"
"B014263","N","Wyss, S.","Vor den Toren des Lagers. Neues zur Zivilsiedlung von Vindonissa.","Pro Vindonissa","","2006","57-82","","2007, 1039.","","","","Gräf","2013-03-27"
"B014264","N","Franke, T.","Ein Matronenheiligtum in Inden-Pier, Kreis Düren.","BJ","199","1999","117-140","","2001, 1427; 2001, 1428; 2001, 1429; 2001, 1430; 2001, 1431; 2001, 1432; 2001, 1433; 2001, 1434; 2001, 1435; 2001, 1436; 2001, 1437; 2001, 1438; 2001, 1439.","","","","Gräf","2013-04-03"
"B014265","N","Speidel, M.A.","Habui tremorem. Ein derber Witz auf einem unheilabwehrenden Relief aus dem Legionslager Vindonissa.","Pro Vindonissa","","1991","81-84","","1991, 1262.","","","","Gräf","2013-04-04"
"B014266","N","Derks, T.","Une nouvelle stèle funéraire avec inscription de Houten (Pays-Bas).","CGG","12","2001","291-292","","2001, 1515.","","","","Gräf","2013-04-10"
"B014267","N","Merten, H.","Die Steindenkmäler des römischen Tempelbezirks ""Auf der Sudelfels"" bei Ihn (Krs. Saarlouis).","In: A. Miron (Hrsg.), Das gallorömische Quellheiligtum von Ihn (Kreis Saarlouis).","","1994","65-132","Saarbrücken","1994, 1250; 1994, 1251; 1994, 1252; 1994, 1253; 1994, 1254; 1994, 1255; 1994, 1256; 1994, 1257; 1994, 1258; 1994, 1259; 1994, p. 371 s. n. 1250-1259.","","13, 04235a; 13, 04235b; 13, 04235c; 13, 04236; 13, 04237.","","Gräf","2013-04-10"
"B014268","N","Karnitsch, P.","Der römische Urnenfriedhof.","JbStadtLinz","","1952","385-489","","1955, 0101.","","","","Gräf","2013-04-10"
"B014269","N","Bossert, M.","Die figürlichen Skulpturen des Legionslagers von Vindonissa.","CSIR Schweiz","1, 5","1999","142 S.","Brugg","2001, 1522.","","13, 05193; 13, 05210; 13, 05200; 13, 11515.","","Gräf","2020-02-05"
"B014270","N","Corell, J. - Gómez, X.","Inscripciones inéditas del País Valenciano.","FichEpigr","48","1995","Nr. 215-219","","1995, 0973; 1995, 0959; 1995, 0960.","","02 (2. Aufl.) 14, 00334.","HEp 05, 1995, 0821.","Gräf","2015-03-18"
"B014271","N","Morton, F.","Die Grabungen in der römischen Niederlassung in der Lahn (Halstatt) 1954 bis 1956 und 1964.","JbMusLinz","110","1965","172-203","","","1975, 0665.","","","Gräf","2013-04-19"
"B014272","N","Morton, F. - Polaschek, E.","Die römische Niederlassung in Hallstatt.","JbMusLinz","91","1944","293-351","","","1975, 0664.","","","Gräf","2013-04-19"
"B014273","N","Hemmers, C. - Traxler, S.","Die römischen Grabdenkmäler von Oberösterreich. Ein Überblick.","In: C. Schwanzar - G. Winkler (Hrsg.), Archäologie und Landeskunde. Beiträge zur Tagung im Linzer Schlossmuseum, Linz 2007.","","2007","21-34","Linz","2012, 1078.","1982, 0756.","03, 05631; 03, 11788; 03, 13529.","CLE 1992; ILCV 1336. ILLPRON 0959; ILLPRON 1022; ILLPRON 1027.","Gräf","2017-02-22"
"B014274","N","Winkler, G.","Legio II Italica.","In: C. Schwanzar - G. Winkler (Hrsg.), Archäologie und Landeskunde. Beiträge zur Tagung im Linzer Schlossmuseum, Linz 2007.","","2007","153-160","Linz","","1909, 0248; 1912, 0293; 2006, 1001.","","ILLPRON 0960; ILLPRON 0961.","Gräf","2014-05-06"
"B014275","N","Stuart, P. - Bogaers, J.E.","Nehalennia. Römische Steindenkmäler aus der Oosterschelde bei Colijnsplaat.","","","2001","222 S.","Leiden","2001, 1445; 2001, 1446; 2001, 1447; 2001, 1448; 2001, 1449; 2001, 1450; 2001, 1451; 2001, 1452; 2001, 1453; 2001, 1454; 2001, 1455; 2001, 1456; 2001, 1457; 2001, 1458; 2001, 1459; 2001, 1460; 2001, 1461; 2001, 1462; 2001, 1463; 2001, 1464; 2001, 1465; 2001, 1466; 2001, 1467; 2001, 1468; 2001, 1469; 2001, 1470; 2001, 1471; 2001, 1472; 2001, 1473; 2001, 1474; 2001, 1475; 2001, 1476; 2001, 1477; 2001, 1478; 2001, 1479; 2001, 1480; 2001, 1481; 2001, 1482; 2001, 1483; 2001, 1484; 2001, 1485; 2001, 1486; 2001, 1487; 2001, 1488; 2001, 1489; 2001, 1490; 2001, 1491; 2001, 1492; 2001, 1493; 2001, 1494; 2001, 1495; 2001, 1496; 2001, 1497; 2001, 1498; 2001, 1499; 2001, 1500; 2001, 1501; 2001, 1502; 2001, 1503; 2001, 1504; 2001, 1505; 2001, 1506; 2001, 1507; 2001, 1508; 2001, 1509; 2001, 1510; 2001, 1511; 2001, 1512; 2001, 1513; 2001, 1514.","1973, 0373; 1973, 0377; 1973, 0379; 1975, 0630; 1975, 0646; 1975, 0653; 1983, 0720; 1983, 0721; 1983, 0722; 1985, 0682; 1991, 1253; 1997, 1159; 1997, 1160; 1997, 1161; 1997, 1162; 1997, 1163; 1997, 1164.","","","Gräf","2013-05-22"
"B014276","N","Harter-Uibopuu, K.","Hadrian and the Athenian Oil Law.","In: R. Alston - O.M. van Nijf (Hrsg.), Feeding the ancient Greek city","","2008","127-141","Leuven","2008, 1281.","","","IG 02 (2. Aufl.) 01100; SEG 15, 0108.","Feraudi","2013-04-24"
"B014277","N","Rife, J.L.","The burial of Herodes Atticus. Élite identity, urban society, and public, memory in Roman Greece.","JHS","128","2008","92-127","","2008, 1283.","","","IG 02 (2. Aufl.) 06791.","Feraudi","2013-04-24"
"B014278","N","Follet, S. - Peppas-Delmousou, D.","Inscriptions du Musée Epigraphique d'Athènes. (Mit englischer und griechischer Zusammenfassung)","BCH","132","2008","473-553","","2008, 1279; 2008, 1280.","","","IG 03, 00062.","Feraudi","2013-04-24"
"B014279","N","Christol, M.","Les procurateurs équestres de la province d'Asie sous Caracalla: autour de la carrière de L(ucius) Lucilius Pansa Priscillianus.","AC","77","2008","189-214","","2008, 1275.","","","SEG 41, 156.","Feraudi","2013-04-24"
"B014280","N","Lasagni, C.","IG II2 958 e la ΣΤΟΑ ΤΟΥ ΡΩΜΑΙΟΥ. (MIt griechischer und englischer Zusammenfassung)","ASAA","86","2008","57-67","","2008, 1276.","","","","Feraudi","2013-04-25"
"B014281","N","Amela Valverde, L.","La campaña de Q. Fufio Caleno en Grecia en el año 48 a.C. y la ciudad de Megara. Las consecuencias de la guerra.","Athenaeum","96","2008","279-291f","","2008, 1274.","","","","Feraudi","2013-04-25"
"B014282","N","Kantiréa, M.","Une famille sacerdotale du culte impérial de Sicyone (Syll3 846 et IG IV 399).","In: A.D. Rizakis - F. Camia (Hrsg.) Pathways to power. Civic elites in the eastern part of the Roman Empire. Proceedings of the International Workshop held at Athens Scuola Archeologica Italiana di Atene, Atene 2005","","2008","15-22","Atene","2008, 1266.","","","","Feraudi","2013-04-25"
"B014283","N","Baldasssarra, D.","Il contributo dell'epigrafia allo studio delle famiglie notabili messenie (I-III sec.d.C.). Il caso dei Flavii Klopha(n)toi e dei Flavii Polybioi (I).","Epigraphica","70","2008","119-141","","2008, 1254; 2008, 1255.","","","","Feraudi","2013-04-25"
"B014284","N","Zoumbaki, S.B.","Einblick in das spätantike Elis: Eine unpublizierte Inschrift zu Ehren des Prokonsuls Flavius Severus.","ZPE","164","2008","123-130","","2008, 1259.","","","","Feraudi","2013-04-25"
"B014285","N","Steinhauer, G.","The Euryklids and Kythera.","In: J.-P. Descœudres - S.A. Paspalas (Hrsg.), Proceedings of the 25th anniversary symposium of the Australian Archaeological Institute at Athens, Athens 2005","","2008","199-206","","2008, 1252.","","","SEG 56, 0457.","Feraudi","2013-04-25"
"B014286","N","Bartels, J.","Städtische Eliten im römischen Makedonien. Untersuchung zur Formierung und Struktur.","","","2008","258 S.","Berlin","2008, 1235.","","","IG 10 (2. Aufl.) 01, 00141.","Feraudi","2013-04-25"
"B014287","N","Rigsby, K.J.","Graecolatina.","ZPE","102","1994","191-193","","1994, 1603.","","","","Feraudi","2013-04-25"
"B014288","N","Demaille, J.","Les P. Anthestii: une famille d'affranchis dans l'élite municipale de la colonie romaine de Dion.","In: A. Gonzales (Hrsg.), La fin du statut servile? (affranchissement, libération, abolition ...). 30e Colloque du Groupe International de Recherche sur l'Esclavage dans l'Antiquité (GIREA), Besançon 2005","","2008","185-202","Besançon","2008, 1228.","","","SEG 34, 0630; SEG 34, 0631; SEG 34, 0632.","Feraudi","2013-04-25"
"B014289","N","Lozanov, I.","Nov nadpis ot târžišteto diskoduraterc v trakija. (Mit englischer Zusammenfassung)","In: D. Gergova - A. Bozhkova - C. Popov - M. Kuzmanov (Hrsg.), Phosphorionl. Studia in honorem Mariae Čičikova","","2008","534-540","Sofija","2008, 1212.","","","","Feraudi","2013-04-25"
"B014290","N","Lytle, E.","Fishless mysteries or high prices at Athens? Re-examining IG II2 1103.","MH","64","2007","100-111","","2008, 1282.","","","IG 02 (2. Aufl.) 01103.","Feraudi","2013-04-25"
"B014291","N","Derks, T.","Twee Romeinse grafstèles vit Houten-Molenzoom en hun betekenis voor de romanisering van een grensstreek.","JOud-Utrecht","53","2003","6-32","","2002, 1515.","","","","Gräf","2013-05-03"
"B014292","N","Raepsaet-Charlier, M.-T.","Nouveaux cultores de Nehalennia.","AC","72","2003","291-302","","2003, 1228.","2001, 1445; 2001, 1447; 2001, 1449; 2001, 1450; 2001, 1451; 2001, 1452; 2001, 1456; 2001, 1457; 2001, 1458; 2001, 1460; 2001, 1463; 2001, 1464; 2001, 1465; 2001, 1466; 2001, 1467; 2001, 1471; 2001, 1473; 2001, 1475; 2001, 1477; 2001, 1478; 2001, 1482; 2001, 1484; 2001, 1486; 2001, 1489; 2001, 1490; 2001, 1491; 2001, 1493; 2001, 1496; 2001, 1497; 2001, 1498; 2001, 1500; 2001, 1503; 2001, 1506; 2001, 1507; 2001, 1510; 1973, 0373; 1973, 0377; 1973, 0379; 1975, 0630; 1975, 0646; 1975, 0653; 1975, 0655; 1983, 0720; 1983, 0722; 1983, 0721; 1985, 0682; 1991, 1253; 1997, 1159; 1997, 1160; 1997, 1161; 1997, 1162; 1997, 1163; 1997, 1164; 2005, 1073.","","","Gräf","2013-05-06"
